n_calib,K,rep,task_seed,method,interval_left,interval_right,interval_length,satisfies_picpi
1000,100,0,2100976124,Empirical mode,0.0,0.04,0.04,True
1000,100,0,2100976124,Empirical mode,0.04,0.11,0.07,True
1000,100,0,2100976124,Empirical mode,0.11,0.16,0.05,True
1000,100,0,2100976124,Empirical mode,0.16,0.21,0.04999999999999999,True
1000,100,0,2100976124,Empirical mode,0.21,0.27,0.060000000000000026,True
1000,100,0,2100976124,Empirical mode,0.27,0.33,0.06,True
1000,100,0,2100976124,Empirical mode,0.33,0.41000000000000003,0.08000000000000002,True
1000,100,0,2100976124,Empirical mode,0.41000000000000003,0.48,0.06999999999999995,True
1000,100,0,2100976124,Empirical mode,0.48,0.53,0.050000000000000044,True
1000,100,0,2100976124,Empirical mode,0.53,0.55,0.020000000000000018,True
1000,100,0,2100976124,Empirical mode,0.55,0.65,0.09999999999999998,True
1000,100,0,2100976124,Empirical mode,0.65,0.78,0.13,True
1000,100,0,2100976124,Empirical mode,0.78,0.86,0.07999999999999996,True
1000,100,0,2100976124,Empirical mode,0.86,0.88,0.020000000000000018,True
1000,100,0,2100976124,Empirical mode,0.88,0.92,0.040000000000000036,True
1000,100,0,2100976124,Empirical mode,0.92,0.93,0.010000000000000009,True
1000,100,0,2100976124,Empirical mode,0.93,0.9500000000000001,0.020000000000000018,True
1000,100,0,2100976124,Empirical mode,0.9500000000000001,0.99,0.039999999999999925,True
1000,100,0,2100976124,Empirical mode,0.99,1.0,0.010000000000000009,True
1000,100,1,2038377967,Empirical mode,0.0,0.05,0.05,True
1000,100,1,2038377967,Empirical mode,0.05,0.13,0.08,True
1000,100,1,2038377967,Empirical mode,0.13,0.21,0.07999999999999999,True
1000,100,1,2038377967,Empirical mode,0.21,0.28,0.07000000000000003,True
1000,100,1,2038377967,Empirical mode,0.28,0.35000000000000003,0.07,True
1000,100,1,2038377967,Empirical mode,0.35000000000000003,0.47000000000000003,0.12,True
1000,100,1,2038377967,Empirical mode,0.47000000000000003,0.54,0.07,True
1000,100,1,2038377967,Empirical mode,0.54,0.64,0.09999999999999998,True
1000,100,1,2038377967,Empirical mode,0.64,0.73,0.08999999999999997,True
1000,100,1,2038377967,Empirical mode,0.73,0.75,0.020000000000000018,True
1000,100,1,2038377967,Empirical mode,0.75,0.78,0.030000000000000027,True
1000,100,1,2038377967,Empirical mode,0.78,0.86,0.07999999999999996,True
1000,100,1,2038377967,Empirical mode,0.86,0.91,0.050000000000000044,True
1000,100,1,2038377967,Empirical mode,0.91,0.9400000000000001,0.030000000000000027,True
1000,100,1,2038377967,Empirical mode,0.9400000000000001,0.96,0.019999999999999907,True
1000,100,1,2038377967,Empirical mode,0.96,0.99,0.030000000000000027,True
1000,100,1,2038377967,Empirical mode,0.99,1.0,0.010000000000000009,True
1000,100,2,4191763410,Empirical mode,0.0,0.04,0.04,True
1000,100,2,4191763410,Empirical mode,0.04,0.13,0.09,True
1000,100,2,4191763410,Empirical mode,0.13,0.16,0.03,True
1000,100,2,4191763410,Empirical mode,0.16,0.21,0.04999999999999999,True
1000,100,2,4191763410,Empirical mode,0.21,0.29,0.07999999999999999,True
1000,100,2,4191763410,Empirical mode,0.29,0.35000000000000003,0.06000000000000005,True
1000,100,2,4191763410,Empirical mode,0.35000000000000003,0.39,0.03999999999999998,True
1000,100,2,4191763410,Empirical mode,0.39,0.47000000000000003,0.08000000000000002,True
1000,100,2,4191763410,Empirical mode,0.47000000000000003,0.58,0.10999999999999993,True
1000,100,2,4191763410,Empirical mode,0.58,0.65,0.07000000000000006,True
1000,100,2,4191763410,Empirical mode,0.65,0.79,0.14,True
1000,100,2,4191763410,Empirical mode,0.79,0.8300000000000001,0.040000000000000036,True
1000,100,2,4191763410,Empirical mode,0.8300000000000001,0.88,0.04999999999999993,True
1000,100,2,4191763410,Empirical mode,0.88,0.92,0.040000000000000036,True
1000,100,2,4191763410,Empirical mode,0.92,0.99,0.06999999999999995,True
1000,100,2,4191763410,Empirical mode,0.99,1.0,0.010000000000000009,True
1000,100,3,451347887,Empirical mode,0.0,0.05,0.05,True
1000,100,3,451347887,Empirical mode,0.05,0.17,0.12000000000000001,True
1000,100,3,451347887,Empirical mode,0.17,0.25,0.07999999999999999,True
1000,100,3,451347887,Empirical mode,0.25,0.32,0.07,True
1000,100,3,451347887,Empirical mode,0.32,0.34,0.020000000000000018,True
1000,100,3,451347887,Empirical mode,0.34,0.39,0.04999999999999999,True
1000,100,3,451347887,Empirical mode,0.39,0.48,0.08999999999999997,True
1000,100,3,451347887,Empirical mode,0.48,0.51,0.030000000000000027,True
1000,100,3,451347887,Empirical mode,0.51,0.55,0.040000000000000036,True
1000,100,3,451347887,Empirical mode,0.55,0.5700000000000001,0.020000000000000018,True
1000,100,3,451347887,Empirical mode,0.5700000000000001,0.62,0.04999999999999993,True
1000,100,3,451347887,Empirical mode,0.62,0.67,0.050000000000000044,True
1000,100,3,451347887,Empirical mode,0.67,0.71,0.039999999999999925,True
1000,100,3,451347887,Empirical mode,0.71,0.74,0.030000000000000027,True
1000,100,3,451347887,Empirical mode,0.74,0.78,0.040000000000000036,True
1000,100,3,451347887,Empirical mode,0.78,0.8200000000000001,0.040000000000000036,True
1000,100,3,451347887,Empirical mode,0.8200000000000001,0.93,0.10999999999999999,True
1000,100,3,451347887,Empirical mode,0.93,0.98,0.04999999999999993,True
1000,100,3,451347887,Empirical mode,0.98,1.0,0.020000000000000018,True
1000,100,4,1322332347,Empirical mode,0.0,0.03,0.03,True
1000,100,4,1322332347,Empirical mode,0.03,0.06,0.03,True
1000,100,4,1322332347,Empirical mode,0.06,0.08,0.020000000000000004,True
1000,100,4,1322332347,Empirical mode,0.08,0.17,0.09000000000000001,True
1000,100,4,1322332347,Empirical mode,0.17,0.19,0.01999999999999999,False
1000,100,4,1322332347,Empirical mode,0.19,0.21,0.01999999999999999,False
1000,100,4,1322332347,Empirical mode,0.21,0.27,0.060000000000000026,True
1000,100,4,1322332347,Empirical mode,0.27,0.3,0.02999999999999997,True
1000,100,4,1322332347,Empirical mode,0.3,0.34,0.040000000000000036,True
1000,100,4,1322332347,Empirical mode,0.34,0.43,0.08999999999999997,True
1000,100,4,1322332347,Empirical mode,0.43,0.5,0.07,True
1000,100,4,1322332347,Empirical mode,0.5,0.61,0.10999999999999999,True
1000,100,4,1322332347,Empirical mode,0.61,0.66,0.050000000000000044,True
1000,100,4,1322332347,Empirical mode,0.66,0.78,0.12,True
1000,100,4,1322332347,Empirical mode,0.78,0.8300000000000001,0.050000000000000044,True
1000,100,4,1322332347,Empirical mode,0.8300000000000001,0.86,0.029999999999999916,True
