n_calib,K,method,n_intervals_mean,n_intervals_std,heldout_ptrue_fail_rate_mean,heldout_ptrue_fail_rate_std,heldout_ptrue_pass_rate_mean,heldout_ptrue_pass_rate_std
1000,100,Empirical mode,17.22,1.8326962405712741,0.03956764460170033,0.04465782252819726,0.9604323553982996,0.04465782252819728
1000,100,Population mode,701.32,43.908736520846766,0.0,0.0,1.0,3.546477361781819e-17
3000,100,Empirical mode,21.7,2.366863075111556,0.0475719819672707,0.04612595418800975,0.9524280180327293,0.04612595418800978
3000,100,Population mode,1623.06,52.72896040418509,0.0,0.0,1.0,4.758098676964957e-17
10000,100,Empirical mode,30.36,2.7535505835786873,0.08492745028986795,0.055241278525882474,0.9150725497101321,0.05524127852588245
10000,100,Population mode,2593.78,27.719653382996533,0.0,0.0,1.0,4.1962486042515756e-17
30000,100,Empirical mode,38.86,3.4700467561397375,0.12791977558677217,0.06316952393589567,0.8720802244132279,0.06316952393589569
30000,100,Population mode,3285.76,20.106410796112836,0.0,0.0,1.0,5.49417910395304e-17
100000,100,Empirical mode,47.42,2.9143557414555805,0.17045991733671123,0.04917515832695663,0.8295400826632887,0.049175158326956646
100000,100,Population mode,3840.32,14.881079618503627,0.0,0.0,1.0,4.485978453382214e-17
300000,100,Empirical mode,54.76,2.3781316624782645,0.20100321895694717,0.057713302961249345,0.7989967810430528,0.05771330296124939
300000,100,Population mode,4189.16,8.986066311523562,0.0,0.0,1.0,0.0
1000000,100,Empirical mode,61.14,2.5315156386187763,0.1846389198524284,0.05496596648838892,0.8153610801475716,0.05496596648838889
1000000,100,Population mode,4454.36,5.517171709623595,0.0,0.0,1.0,0.0
3000000,100,Empirical mode,64.36,2.8339055044519847,0.13937863913052495,0.046456439353247274,0.860621360869475,0.04645643935324725
3000000,100,Population mode,4628.04,3.8542846553002854,0.0,0.0,1.0,0.0
10000000,100,Empirical mode,66.26,2.145807492744488,0.10243133899656452,0.04089046719404907,0.8975686610034355,0.04089046719404908
10000000,100,Population mode,4743.64,3.342735040504991,0.0,0.0,1.0,0.0
