method,n_calib,K,interval_length,picpi_pass_rate,n_intervals,interval_frequency
Empirical mode,1000,100,0.01,0.5882352941176471,51,0.059233449477351915
Empirical mode,1000,100,0.02,0.8390804597701149,87,0.10104529616724739
Empirical mode,1000,100,0.03,1.0,123,0.14285714285714285
Empirical mode,1000,100,0.04,1.0,124,0.1440185830429733
Empirical mode,1000,100,0.05,1.0,122,0.14169570267131243
Empirical mode,1000,100,0.06,1.0,71,0.08246225319396051
Empirical mode,1000,100,0.07,1.0,60,0.06968641114982578
Empirical mode,1000,100,0.08,1.0,56,0.06504065040650407
Empirical mode,1000,100,0.09,1.0,39,0.04529616724738676
Empirical mode,1000,100,0.1,1.0,29,0.03368176538908246
Empirical mode,1000,100,0.11,1.0,25,0.029036004645760744
Empirical mode,1000,100,0.12,1.0,17,0.019744483159117306
Empirical mode,1000,100,0.13,1.0,11,0.012775842044134728
Empirical mode,1000,100,0.14,1.0,11,0.012775842044134728
Empirical mode,1000,100,0.15,1.0,12,0.013937282229965157
Empirical mode,1000,100,0.16,1.0,8,0.009291521486643438
Empirical mode,1000,100,0.17,1.0,2,0.0023228803716608595
Empirical mode,1000,100,0.18,1.0,7,0.008130081300813009
Empirical mode,1000,100,0.19,1.0,3,0.003484320557491289
Empirical mode,1000,100,0.21,1.0,2,0.0023228803716608595
Empirical mode,1000,100,0.22,1.0,1,0.0011614401858304297
Empirical mode,3000,100,0.01,0.5609756097560976,82,0.07557603686635944
Empirical mode,3000,100,0.02,0.9075144508670521,173,0.15944700460829492
Empirical mode,3000,100,0.03,1.0,213,0.19631336405529953
Empirical mode,3000,100,0.04,1.0,177,0.1631336405529954
Empirical mode,3000,100,0.05,1.0,113,0.10414746543778802
Empirical mode,3000,100,0.06,1.0,88,0.08110599078341015
Empirical mode,3000,100,0.07,1.0,73,0.06728110599078341
Empirical mode,3000,100,0.08,1.0,48,0.04423963133640553
Empirical mode,3000,100,0.09,1.0,46,0.0423963133640553
Empirical mode,3000,100,0.1,1.0,26,0.023963133640552997
Empirical mode,3000,100,0.11,1.0,20,0.018433179723502304
Empirical mode,3000,100,0.12,1.0,14,0.012903225806451613
Empirical mode,3000,100,0.13,1.0,2,0.0018433179723502304
Empirical mode,3000,100,0.14,1.0,4,0.003686635944700461
Empirical mode,3000,100,0.15,1.0,3,0.0027649769585253456
Empirical mode,3000,100,0.16,1.0,3,0.0027649769585253456
Empirical mode,10000,100,0.01,0.6283185840707964,226,0.14888010540184454
Empirical mode,10000,100,0.02,0.8753246753246753,385,0.2536231884057971
Empirical mode,10000,100,0.03,1.0,338,0.22266139657444006
Empirical mode,10000,100,0.04,1.0,231,0.15217391304347827
Empirical mode,10000,100,0.05,1.0,151,0.09947299077733861
Empirical mode,10000,100,0.06,1.0,81,0.0533596837944664
Empirical mode,10000,100,0.07,1.0,57,0.037549407114624504
Empirical mode,10000,100,0.08,1.0,26,0.017127799736495388
Empirical mode,10000,100,0.09,1.0,17,0.011198945981554678
Empirical mode,10000,100,0.1,1.0,2,0.0013175230566534915
Empirical mode,10000,100,0.11,1.0,3,0.001976284584980237
Empirical mode,10000,100,0.12,1.0,1,0.0006587615283267457
Empirical mode,30000,100,0.01,0.6236559139784946,465,0.2393206381883685
Empirical mode,30000,100,0.02,0.8711755233494364,621,0.31960885229027275
Empirical mode,30000,100,0.03,1.0,430,0.2213072568193515
Empirical mode,30000,100,0.04,1.0,227,0.11682964487905301
Empirical mode,30000,100,0.05,1.0,128,0.06587750900669069
Empirical mode,30000,100,0.06,1.0,55,0.028306742151312403
Empirical mode,30000,100,0.07,1.0,12,0.006176016469377252
Empirical mode,30000,100,0.08,1.0,4,0.002058672156459084
Empirical mode,30000,100,0.09,1.0,1,0.000514668039114771
Empirical mode,100000,100,0.01,0.5953002610966057,766,0.3230704344158583
Empirical mode,100000,100,0.02,0.8917127071823204,905,0.3816954871362294
Empirical mode,100000,100,0.03,1.0,449,0.18937157317587516
Empirical mode,100000,100,0.04,1.0,186,0.0784479122733024
Empirical mode,100000,100,0.05,1.0,58,0.02446225221425559
Empirical mode,100000,100,0.06,1.0,6,0.0025305778152678194
Empirical mode,100000,100,0.07,1.0,1,0.00042176296921130323
Empirical mode,300000,100,0.01,0.5781659388646289,1145,0.4181884587289993
Empirical mode,300000,100,0.02,0.9318618042226487,1042,0.3805697589481373
Empirical mode,300000,100,0.03,1.0,442,0.16143170197224252
Empirical mode,300000,100,0.04,1.0,100,0.036523009495982466
Empirical mode,300000,100,0.05,1.0,9,0.003287070854638422
Empirical mode,1000000,100,0.01,0.6917945296864576,1499,0.49035001635590447
Empirical mode,1000000,100,0.02,0.909245122985581,1179,0.3856722276741904
Empirical mode,1000000,100,0.03,1.0,373,0.12201504743212299
Empirical mode,1000000,100,0.04,1.0,6,0.001962708537782139
Empirical mode,3000000,100,0.01,0.8023121387283237,1730,0.5376009944064637
Empirical mode,3000000,100,0.02,0.907112970711297,1195,0.3713486637663145
Empirical mode,3000000,100,0.03,1.0,292,0.09073958980733375
Empirical mode,3000000,100,0.04,1.0,1,0.00031075201988812925
Empirical mode,10000000,100,0.01,0.8678742674480554,1877,0.5665559915484455
Empirical mode,10000000,100,0.02,0.920675105485232,1185,0.3576818593419861
Empirical mode,10000000,100,0.03,1.0,251,0.07576214910956837
