Method,Average length,ECE,ECE mean p-hat,"Coverage [0,1]",Coverage p*,seed
Simultaneous confidence interval,0.4019152835112974,0.0619851620723396,0.0291983015272249,,1.0,0
PICPI,0.1071582857142857,0.004872738764492,0.0047157771630909,1.0,0.8052,0
Split conformal prediction,0.8768812007633642,0.2796105569577272,0.0208715497772506,,1.0,0
Calibration-based interval,0.02,0.0058723599994744,0.0050142989944171,0.74,0.309,0
Fixed-width binning,0.02,0.0056894381204834,0.0056490881879948,1.0,0.3135,0
Simultaneous confidence interval,0.4156204735466255,0.0694674013047408,0.0277083574850948,,1.0,1
PICPI,0.1079688163265306,0.0089808368476341,0.0080609165664104,1.0,0.8051,1
Split conformal prediction,0.8717895360941551,0.2698747727596261,0.0208973718018428,,1.0,1
Calibration-based interval,0.02,0.0103484090044459,0.0084747907012486,0.62,0.285,1
Fixed-width binning,0.02,0.0085391200205735,0.0085458756599942,1.0,0.302,1
Simultaneous confidence interval,0.3994100831145949,0.062354292601486,0.0351547066906092,,1.0,2
PICPI,0.125903306122449,0.0098375710260604,0.0101176819926363,1.0,0.7654,2
Split conformal prediction,0.8902172608550871,0.291771678815079,0.0241897886178391,,1.0,2
Calibration-based interval,0.02,0.0113394725630294,0.0106788638892488,0.8,0.2691,2
Fixed-width binning,0.02,0.0106299804066719,0.010666199632244,1.0,0.2775,2
Simultaneous confidence interval,0.4130206972085469,0.0679985449601913,0.0274334967636642,,1.0,3
PICPI,0.0957802857142857,0.005143347863697,0.0037158299225168,1.0,0.774,3
Split conformal prediction,0.8703297584056432,0.2726258230027416,0.0201114003060611,,1.0,3
Calibration-based interval,0.0199999999999999,0.0094660694735933,0.0026486610820254,0.38,0.2781,3
Fixed-width binning,0.02,0.0038150434467479,0.0037583167753974,1.0,0.3235,3
Simultaneous confidence interval,0.409060568564826,0.0695358196122085,0.0244746069213737,,1.0,4
PICPI,0.1106125714285714,0.0156427624532884,0.0140894277626392,1.0,0.8553,4
Split conformal prediction,0.8598237567402848,0.2646785950167927,0.0192255143555888,,1.0,4
Calibration-based interval,0.0199999999999999,0.0133362115836777,0.0132985026498909,0.76,0.3301,4
Fixed-width binning,0.02,0.014940916449816,0.0149894169863272,1.0,0.3309,4
Simultaneous confidence interval,0.411384217538017,0.06679387828657,0.0216368289717896,,1.0,5
PICPI,0.0976711836734694,0.007121008736499,0.0059118246504396,1.0,0.8636,5
Split conformal prediction,0.8897997268047729,0.2904066602824759,0.0154024686053561,,1.0,5
Calibration-based interval,0.02,0.0083783701025119,0.0054791243264922,0.54,0.3435,5
Fixed-width binning,0.02,0.0062573673559702,0.0062270779836227,1.0,0.3579,5
Simultaneous confidence interval,0.4056180356286779,0.0609192495185234,0.0292438725619262,,1.0,6
PICPI,0.1155817551020408,0.0104603574525747,0.0105259877969859,1.0,0.8128,6
Split conformal prediction,0.8818671252137061,0.2836292654146404,0.0209548881869171,,1.0,6
Calibration-based interval,0.02,0.0117873390280665,0.0112265876530886,0.72,0.3082,6
Fixed-width binning,0.02,0.0117233123894459,0.0117098162622895,1.0,0.314,6
Simultaneous confidence interval,0.4011033249286058,0.0561112700697472,0.0322900998064085,,1.0,7
PICPI,0.1282594285714285,0.0167631663271875,0.0183393737146915,1.0,0.8074,7
Split conformal prediction,0.893559273912395,0.2933170757453737,0.0237916902415081,,1.0,7
Calibration-based interval,0.02,0.0178200641588931,0.017361788430117,0.68,0.27,7
Fixed-width binning,0.02,0.017863425576577,0.0179936332405957,1.0,0.2741,7
Simultaneous confidence interval,0.3964017452294384,0.0586995128179579,0.0305245056576345,,1.0,8
PICPI,0.1241424489795918,0.0125687654918266,0.0123594354665352,1.0,0.8232,8
Split conformal prediction,0.8709109042802357,0.2739585680052618,0.0230328924967819,,1.0,8
Calibration-based interval,0.02,0.0142920167980165,0.0133914987304652,0.68,0.3031,8
Fixed-width binning,0.02,0.0134569770565164,0.013490465737846,1.0,0.3073,8
Simultaneous confidence interval,0.399750892443121,0.0555552532769071,0.0317611967021045,,1.0,9
