method,target_coverage,n_completed_seeds,mean_avg_set_size,sd_avg_set_size,mean_macro_coverage,sd_macro_coverage,mean_worst_coverage,sd_worst_coverage,dgp_name,dgp_title
Calibration-based interval,0.0,1000,0.0,0.0,0.0,0.0,0.0,0.0,population_nonlinear,Population-style nonlinear
Calibration-based interval,0.0666666666666666,1000,0.0733735,0.00847921841297268,0.057013405688755216,0.00766910517877622,0.033911474001075345,0.012702981516177015,population_nonlinear,Population-style nonlinear
Calibration-based interval,0.1333333333333333,1000,0.1504205,0.013744465798643826,0.11779367083430937,0.010899975822652798,0.08379710643168282,0.020184359767088305,population_nonlinear,Population-style nonlinear
Calibration-based interval,0.2,1000,0.239411,0.02284104402807132,0.18114977591593953,0.013179991165286902,0.14077856296231456,0.025460132812639757,population_nonlinear,Population-style nonlinear
Calibration-based interval,0.2666666666666666,1000,0.3498055,0.057061299596676385,0.24581011493416483,0.015098415198226101,0.20216623612668794,0.029371209704241258,population_nonlinear,Population-style nonlinear
Calibration-based interval,0.3333333333333333,1000,0.531554,0.1971187304085482,0.315738505057064,0.022639931346315076,0.2642806242900134,0.03296324482851531,population_nonlinear,Population-style nonlinear
Calibration-based interval,0.4,1000,0.8279605,0.3863567143203938,0.39967290322752147,0.022005395906503345,0.3271473172170408,0.03845675982772917,population_nonlinear,Population-style nonlinear
Calibration-based interval,0.4666666666666667,1000,1.229068,0.5275410585389959,0.44554211030327995,0.020658309280574768,0.3815333325863722,0.04260231380705277,population_nonlinear,Population-style nonlinear
Calibration-based interval,0.5333333333333333,1000,1.6770025,0.5325306720372174,0.49796939626813047,0.022638463980403586,0.4199103018634238,0.05080082807843978,population_nonlinear,Population-style nonlinear
Calibration-based interval,0.6,1000,2.038782,0.42248725597046993,0.5428926567672232,0.02667173559665778,0.44195475124891653,0.06016181223500532,population_nonlinear,Population-style nonlinear
Calibration-based interval,0.6666666666666666,1000,2.2555295,0.2886515010680159,0.5808689296292383,0.03046706465894724,0.45203433959558653,0.06731081150042964,population_nonlinear,Population-style nonlinear
Calibration-based interval,0.7333333333333333,1000,2.395441,0.1768173475465385,0.6150264622506572,0.033090778946240074,0.4557814123350255,0.07128041933002931,population_nonlinear,Population-style nonlinear
Calibration-based interval,0.8,1000,2.6219595,0.25158928689240523,0.6455568813522149,0.035647785020079224,0.4570328487955404,0.073211744278443,population_nonlinear,Population-style nonlinear
Calibration-based interval,0.8666666666666667,1000,3.3284635,0.2560384299189195,0.6636395366847134,0.04119073248673828,0.45736308754781,0.07382177409108334,population_nonlinear,Population-style nonlinear
Calibration-based interval,0.9333333333333332,1000,3.5215259999999997,0.08098144428397358,0.6655402012957125,0.04302822750625225,0.45743530294452295,0.07401576283826185,population_nonlinear,Population-style nonlinear
Calibration-based interval,1.0,1000,3.5243800000000003,0.07820242783775778,0.6655556520263409,0.043055251343955,0.45743530294452295,0.07401576283826185,population_nonlinear,Population-style nonlinear
Conformal classification,0.0,1000,0.0,0.0,0.0,0.0,0.0,0.0,population_nonlinear,Population-style nonlinear
Conformal classification,0.0666666666666666,1000,0.06672650000000001,0.007643485502087414,0.03965022964616293,0.004522206670438043,0.0,0.0,population_nonlinear,Population-style nonlinear
Conformal classification,0.1333333333333333,1000,0.133073,0.010789327160698223,0.07914151447686878,0.006360930049853809,0.0,0.0,population_nonlinear,Population-style nonlinear
Conformal classification,0.2,1000,0.2002005,0.01240905049890137,0.11909945903348064,0.007258602605433557,0.0,0.0,population_nonlinear,Population-style nonlinear
Conformal classification,0.2666666666666666,1000,0.266875,0.01388416886764004,0.15877095320931955,0.008016625183494637,0.0,0.0,population_nonlinear,Population-style nonlinear
Conformal classification,0.3333333333333333,1000,0.33354300000000003,0.014687490370154222,0.1983978408268083,0.008363961027602177,2.27004639226887e-05,0.0003588650161965588,population_nonlinear,Population-style nonlinear
Conformal classification,0.4,1000,0.401326,0.015143283760236511,0.23861317936211354,0.008533598096708036,4.7344425787822304e-05,0.0005282946943834425,population_nonlinear,Population-style nonlinear
Conformal classification,0.4666666666666667,1000,0.469522,0.015282492289236404,0.27907459483057645,0.00863137405048643,0.00029471115524202764,0.001326695819202674,population_nonlinear,Population-style nonlinear
