method,target_coverage,n_completed_seeds,mean_avg_set_size,sd_avg_set_size,mean_macro_coverage,sd_macro_coverage,mean_worst_coverage,sd_worst_coverage,dgp_name,dgp_title
Calibration-based interval,0.0,1000,0.0,0.0,0.0,0.0,0.0,0.0,true_linear_gaussian_d10,True linear Gaussian 10d
Calibration-based interval,0.0666666666666666,1000,0.07027249999999999,0.008812130695660246,0.061100961441212576,0.006878610279450796,0.04664812724143446,0.00886640184607107,true_linear_gaussian_d10,True linear Gaussian 10d
Calibration-based interval,0.1333333333333333,1000,0.15941650000000002,0.019808992249075265,0.1228874202505935,0.008701759245347059,0.10356995472368047,0.0123770975147866,true_linear_gaussian_d10,True linear Gaussian 10d
Calibration-based interval,0.2,1000,0.29351499999999997,0.06947736234831368,0.18674410962142862,0.010044026202809732,0.16394873092430112,0.01463126603806019,true_linear_gaussian_d10,True linear Gaussian 10d
Calibration-based interval,0.2666666666666666,1000,0.5282305,0.19290653190029589,0.25195566677747805,0.01098512279535693,0.22620283686406867,0.016705961478515267,true_linear_gaussian_d10,True linear Gaussian 10d
Calibration-based interval,0.3333333333333333,1000,0.9480694999999999,0.3564410500235512,0.3157145689919537,0.013521033478126564,0.2848137223445827,0.0229967142214851,true_linear_gaussian_d10,True linear Gaussian 10d
Calibration-based interval,0.4,1000,1.556912,0.4432368262454515,0.37037864797143794,0.022801512750966674,0.3292434394903878,0.03917062095206526,true_linear_gaussian_d10,True linear Gaussian 10d
Calibration-based interval,0.4666666666666667,1000,2.1570655000000003,0.36580156539440206,0.40663485432909224,0.037241060397670236,0.35072637962706993,0.05551265840638182,true_linear_gaussian_d10,True linear Gaussian 10d
Calibration-based interval,0.5333333333333333,1000,2.516971,0.236645051796017,0.42339536898602664,0.048715425164594005,0.3561616784724841,0.06251969117371199,true_linear_gaussian_d10,True linear Gaussian 10d
Calibration-based interval,0.6,1000,2.646991,0.17356507354232817,0.42850414148709803,0.054231945745006886,0.3569235086697008,0.06394541559953366,true_linear_gaussian_d10,True linear Gaussian 10d
Calibration-based interval,0.6666666666666666,1000,2.6831080000000003,0.17119518722244548,0.4297339800982679,0.05609813248245318,0.35697792861902716,0.06409526639964963,true_linear_gaussian_d10,True linear Gaussian 10d
Calibration-based interval,0.7333333333333333,1000,2.6889015,0.17328376095168174,0.42993786500094616,0.05651554182083399,0.35697792861902716,0.06409526639964963,true_linear_gaussian_d10,True linear Gaussian 10d
Calibration-based interval,0.8,1000,2.6901015000000004,0.1746285717912044,0.4299756725580621,0.05663122842622039,0.35697792861902716,0.06409526639964963,true_linear_gaussian_d10,True linear Gaussian 10d
Calibration-based interval,0.8666666666666667,1000,2.6901015000000004,0.1746285717912044,0.4299756725580621,0.05663122842622039,0.35697792861902716,0.06409526639964963,true_linear_gaussian_d10,True linear Gaussian 10d
Calibration-based interval,0.9333333333333332,1000,2.6901015000000004,0.1746285717912044,0.4299756725580621,0.05663122842622039,0.35697792861902716,0.06409526639964963,true_linear_gaussian_d10,True linear Gaussian 10d
Calibration-based interval,1.0,1000,2.6901015000000004,0.1746285717912044,0.4299756725580621,0.05663122842622039,0.35697792861902716,0.06409526639964963,true_linear_gaussian_d10,True linear Gaussian 10d
Conformal classification,0.0,1000,0.0,0.0,0.0,0.0,0.0,0.0,true_linear_gaussian_d10,True linear Gaussian 10d
Conformal classification,0.0666666666666666,1000,0.06950150000000001,0.008490396609380777,0.06351574915567253,0.007615950083085289,0.020536587417285476,0.009168212255159775,true_linear_gaussian_d10,True linear Gaussian 10d
Conformal classification,0.1333333333333333,1000,0.143965,0.01176367966068267,0.12787497479288937,0.010120473885166266,0.05497628279647504,0.016054482096503186,true_linear_gaussian_d10,True linear Gaussian 10d
Conformal classification,0.2,1000,0.22445199999999998,0.014425404267759302,0.19345408559913743,0.011883739590818064,0.09790223564954695,0.02154808673528179,true_linear_gaussian_d10,True linear Gaussian 10d
Conformal classification,0.2666666666666666,1000,0.3097355,0.016378814221588368,0.25859326337812594,0.012826086753791719,0.14736413760615313,0.025590197173268006,true_linear_gaussian_d10,True linear Gaussian 10d
Conformal classification,0.3333333333333333,1000,0.402141,0.018731564016133052,0.3241972935267062,0.013687113393026942,0.20193335373038163,0.028229603475858928,true_linear_gaussian_d10,True linear Gaussian 10d
Conformal classification,0.4,1000,0.5035805,0.019802965110739788,0.39062944523504334,0.013516740944185306,0.26192184722187917,0.03005393376539703,true_linear_gaussian_d10,True linear Gaussian 10d
Conformal classification,0.4666666666666667,1000,0.6143664999999999,0.021291283345456092,0.4567916813874702,0.013353909869132765,0.3258074342739722,0.031122556495747036,true_linear_gaussian_d10,True linear Gaussian 10d
Conformal classification,0.5333333333333333,1000,0.7382675000000001,0.022808691987489797,0.5235509301277875,0.012937680098465233,0.3946634620076158,0.03109044890016552,true_linear_gaussian_d10,True linear Gaussian 10d
Conformal classification,0.6,1000,0.8783479999999999,0.025629958852694045,0.5904716602496076,0.012593549576713443,0.4671329727935257,0.030293569029893025,true_linear_gaussian_d10,True linear Gaussian 10d
Conformal classification,0.6666666666666666,1000,1.039415,0.029322100207191202,0.6574677034050771,0.01202964261540323,0.5439620988530454,0.028574566127801366,true_linear_gaussian_d10,True linear Gaussian 10d
Conformal classification,0.7333333333333333,1000,1.2324245,0.0327001123407412,0.7254340280705941,0.010741329381546018,0.6256207900844346,0.02575739776814503,true_linear_gaussian_d10,True linear Gaussian 10d
Conformal classification,0.8,1000,1.4686620000000001,0.03813241845644379,0.7930013387729944,0.009644657218416489,0.7110497933618934,0.02276458743011117,true_linear_gaussian_d10,True linear Gaussian 10d
Conformal classification,0.8666666666666667,1000,1.7853695,0.0467012497314202,0.8617981009067858,0.008353864542258407,0.8025178247970252,0.018548602150797764,true_linear_gaussian_d10,True linear Gaussian 10d
Conformal classification,0.9333333333333332,1000,2.264961,0.06099262725591999,0.9306023769182805,0.006348144406131836,0.8986159841361989,0.01319532856267615,true_linear_gaussian_d10,True linear Gaussian 10d
Conformal classification,1.0,1000,4.0,0.0,1.0,0.0,1.0,0.0,true_linear_gaussian_d10,True linear Gaussian 10d
Fixed-width binning,0.0,1000,0.0,0.0,0.0,0.0,0.0,0.0,true_linear_gaussian_d10,True linear Gaussian 10d
Fixed-width binning,0.0666666666666666,1000,0.0618365,0.009834263087821095,0.05703116665867031,0.009069010990213828,0.03312674042363602,0.01750107430722255,true_linear_gaussian_d10,True linear Gaussian 10d
Fixed-width binning,0.1333333333333333,1000,0.133306,0.013635864505076343,0.12043555602388467,0.012133635838749527,0.09229637685627609,0.021934134103499873,true_linear_gaussian_d10,True linear Gaussian 10d
Fixed-width binning,0.2,1000,0.211273,0.016000671626294087,0.1852450279852342,0.013509689552433595,0.15510099982681788,0.02283225166912869,true_linear_gaussian_d10,True linear Gaussian 10d
Fixed-width binning,0.2666666666666666,1000,0.296263,0.017969132442071895,0.25123193066293553,0.014251900937600526,0.21985212395865242,0.023426328430718797,true_linear_gaussian_d10,True linear Gaussian 10d
Fixed-width binning,0.3333333333333333,1000,0.38783249999999997,0.019849753309712847,0.31705823130568944,0.014763387026138497,0.28519905048384625,0.02342719191934605,true_linear_gaussian_d10,True linear Gaussian 10d
Fixed-width binning,0.4,1000,0.48759600000000003,0.02203403691525415,0.38306755418335037,0.015190245366518472,0.35182701103845876,0.02328899162036325,true_linear_gaussian_d10,True linear Gaussian 10d
Fixed-width binning,0.4666666666666667,1000,0.5976135,0.02337080576942765,0.4494003251616051,0.014707503804054469,0.41869549913140774,0.02224849890000382,true_linear_gaussian_d10,True linear Gaussian 10d
Fixed-width binning,0.5333333333333333,1000,0.7207915,0.025082402290344037,0.5163405578689054,0.014293224753256428,0.48561491866658013,0.022058096674733553,true_linear_gaussian_d10,True linear Gaussian 10d
