n_calib,width_mean,width_median,width_q90,width_q95,coverage,n_raw_intervals,n_intervals,rate_term,rep
1000,0.7044130000000001,0.69,0.77,0.79,1.0,413,413,0.19044912476405548,0
1000,0.70804,0.7000000000000001,0.77,0.79,1.0,411,411,0.19044912476405548,1
1000,0.729066,0.72,0.79,0.81,1.0,343,343,0.19044912476405548,2
1000,0.697305,0.6900000000000001,0.74,0.75,1.0,457,457,0.19044912476405548,3
1000,0.729421,0.71,0.79,0.79,1.0,359,359,0.19044912476405548,4
1000,0.6978460000000001,0.6799999999999999,0.75,0.77,1.0,457,457,0.19044912476405548,5
1000,0.703126,0.6900000000000001,0.77,0.77,1.0,418,418,0.19044912476405548,6
1000,0.695643,0.68,0.76,0.77,1.0,445,445,0.19044912476405548,7
1000,0.7089280000000001,0.6900000000000001,0.76,0.77,1.0,421,421,0.19044912476405548,8
1000,0.695449,0.6799999999999999,0.74,0.76,1.0,461,461,0.19044912476405548,9
1000,0.700783,0.6900000000000001,0.75,0.76,1.0,450,450,0.19044912476405548,10
1000,0.699307,0.7,0.73,0.75,1.0,463,463,0.19044912476405548,11
1000,0.7033240000000001,0.69,0.77,0.78,1.0,424,424,0.19044912476405548,12
1000,0.710161,0.7000000000000001,0.76,0.76,1.0,402,402,0.19044912476405548,13
1000,0.713307,0.7000000000000001,0.76,0.78,1.0,405,405,0.19044912476405548,14
1000,0.6889210000000001,0.69,0.73,0.73,1.0,470,470,0.19044912476405548,15
1000,0.71689,0.7000000000000001,0.79,0.79,1.0,383,383,0.19044912476405548,16
1000,0.689342,0.6799999999999999,0.73,0.74,1.0,482,482,0.19044912476405548,17
1000,0.700013,0.69,0.74,0.75,1.0,461,461,0.19044912476405548,18
1000,0.705553,0.7,0.77,0.79,1.0,412,412,0.19044912476405548,19
1000,0.708677,0.7000000000000001,0.78,0.8,1.0,398,398,0.19044912476405548,20
1000,0.7141350000000001,0.71,0.77,0.78,1.0,392,392,0.19044912476405548,21
1000,0.7003459999999999,0.6799999999999999,0.75,0.76,1.0,448,448,0.19044912476405548,22
1000,0.702046,0.7,0.75,0.75,1.0,432,432,0.19044912476405548,23
1000,0.726217,0.7100000000000001,0.77,0.78,1.0,372,372,0.19044912476405548,24
1000,0.713824,0.6900000000000001,0.76,0.78,1.0,407,407,0.19044912476405548,25
1000,0.7149739999999999,0.7000000000000001,0.77,0.77,1.0,393,393,0.19044912476405548,26
1000,0.704484,0.7,0.77,0.78,1.0,421,421,0.19044912476405548,27
1000,0.6975770000000001,0.68,0.74,0.75,1.0,465,465,0.19044912476405548,28
1000,0.7070789999999999,0.6900000000000001,0.78,0.78,1.0,416,416,0.19044912476405548,29
1000,0.692823,0.6799999999999999,0.73,0.74,1.0,487,487,0.19044912476405548,30
1000,0.7125700000000001,0.7000000000000001,0.78,0.79,1.0,381,381,0.19044912476405548,31
